CONTROL_NUMBER,CARD_PROM_12,CHILDREN,DONOR_AGE,DONOR_GENDER,FILE_CARD_GIFT,FREQUENCY_STATUS_97NK,HOME_OWNER,INCOME_GROUP,LAST_GIFT_AMT,LIFETIME_CARD_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LIFETIME_PROM,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,MONTHS_SINCE_FIRST_GIFT,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_LAST_PROM_RESP,NUMBER_PROM_12,PCT_ATTRIBUTE1,PCT_ATTRIBUTE2,PCT_ATTRIBUTE3,PCT_ATTRIBUTE4,PCT_OWNER_OCCUPIED,PEP_STAR,PER_CAPITA_INCOME,RECENCY_STATUS_96NK,RECENT_AVG_CARD_GIFT_AMT,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_COUNT,RECENT_CARD_RESPONSE_PROP,RECENT_RESPONSE_COUNT,RECENT_RESPONSE_PROP,RECENT_STAR_STATUS,SES,URBANICITY,WEALTH_RATING
144020,4.0,2.0,57.0,M,3.0,1.0,H,4.0,15.0,13.0,31.0,3.0,15.0,5.0,37.0,1727.0,200.0,52.0,21.0,21.0,10.0,0.0,4.0,0.0,24.0,28.0,0.0,6278.0,A,15.0,15.0,1.0,0.167,1.0,0.063,0.0,4,U,0.0
38273,6.0,4.0,68.0,M,5.0,2.0,H,3.0,20.0,17.0,90.0,7.0,20.0,5.0,46.0,624.0,292.0,53.0,18.0,,17.0,0.0,3.0,0.0,99.0,83.0,1.0,7627.0,S,20.0,17.5,2.0,0.2,4.0,0.19,1.0,3,U,5.0
55077,6.0,2.0,79.0,F,5.0,2.0,U,2.0,10.0,29.0,80.0,12.0,10.0,5.0,63.0,424.0,172.0,120.0,18.0,22.0,14.0,0.0,,44.0,23.0,67.0,1.0,10942.0,S,0.0,9.33,0.0,0.0,3.0,0.143,1.0,2,T,0.0
135265,6.0,4.0,,F,1.0,3.0,U,,13.0,12.0,40.0,4.0,13.0,8.0,27.0,815.0,264.0,33.0,17.0,17.0,12.0,0.0,9.0,0.0,50.0,45.0,0.0,18423.0,A,8.0,10.0,1.0,0.125,4.0,0.235,0.0,2,S,
171029,6.0,1.0,45.0,F,6.0,4.0,U,9.490799005783057,10.0,16.0,55.0,8.0,10.0,5.0,42.0,1519.0,356.0,53.0,,16.0,14.0,0.0,42.0,49.0,36.0,84.0,1.0,12979.0,S,7.0,7.17,4.0,0.444,6.0,0.3,1.0,2,T,
157422,5.0,3.0,,U,1.0,2.0,U,,15.0,11.0,35.0,3.0,15.0,10.0,25.0,1788.0,270.0,,19.0,19.0,11.0,0.0,23.0,26.0,51.0,36.0,0.0,16434.0,A,0.0,12.5,0.0,0.0,2.0,0.125,0.0,2,U,
3160,6.0,1.0,87.0,F,3.0,2.0,H,4.0,25.0,19.0,98.0,7.0,25.0,5.0,66.0,1232.0,451.0,57.0,16.0,18.0,30.0,0.0,27.0,12.0,58.0,66.0,0.0,23222.0,A,15.0,17.33,2.0,-0.36980473637973116,3.0,0.158,0.0,1,S,7.0
31879,6.0,4.0,67.0,M,8.0,4.0,H,2.0,6.0,,116.0,13.0,12.0,5.0,57.0,790.0,313.0,73.0,15.0,17.0,14.0,5.0,46.0,43.0,8.0,80.0,1.0,12493.0,S,10.75,10.6,4.0,0.4,5.0,,1.0,2,T,6.0
186388,7.0,0.0,24.0,F,4.0,4.0,,2.0,3.0,11.0,35.0,6.0,10.0,3.0,29.0,879.0,296.0,41.0,9.0,16.0,17.0,6.0,37.0,21.0,16.0,87.0,1.0,14589.0,A,8.5,7.25,2.0,0.4,4.0,0.333,0.0,2,,
21878,6.0,3.0,56.0,M,3.0,1.0,H,6.0,15.0,22.0,-245.47319946589744,8.0,15.0,3.0,56.0,828.0,313.0,80.0,30.30063126232171,18.0,13.0,0.0,39.0,34.0,27.0,84.0,0.0,14252.0,A,13.0,13.67,1.0,0.111,3.0,0.15,0.0,2,T,0.0
6675,7.0,1.0,17.0,F,6.0,2.0,U,,13.0,29.0,346.0,29.0,16.0,4.0,119.0,2306.0,392.0,89.0,4.0,19.0,36.0,0.0,33.0,,26.0,67.0,1.0,15933.0,A,14.0,14.25,2.0,0.182,4.0,0.182,0.0,2,C,4.0
172329,5.0,0.0,61.0,F,1.0,3.0,U,1.0,11.0,,26.0,3.0,11.0,5.0,20.0,685.0,270.0,24.0,15.0,15.0,12.0,-15.201233679010635,26.0,40.0,,69.0,0.0,9770.0,N,5.0,8.67,1.0,0.25,3.0,0.3,0.0,3,C,
187956,2.0,1.0,,,8.0,2.0,U,,20.0,15.0,170.0,10.0,20.0,10.0,34.0,1123.0,543.0,84.0,17.0,17.0,7.0,0.0,21.0,43.0,21.0,77.0,1.0,23971.0,E,20.0,20.0,2.0,0.5,2.0,0.25,0.0,1,S,
131400,6.0,1.0,37.0,M,7.0,4.0,U,1.0,6.0,14.0,36.0,9.0,6.0,2.0,31.0,537.0,236.0,40.0,17.0,17.0,13.0,15.91558482291639,49.0,39.0,27.0,53.0,1.0,9490.0,S,4.8,4.57,5.0,0.556,7.0,0.438,1.0,3,T,
152029,6.0,4.0,72.0,M,2.0,1.0,H,6.0,20.0,22.0,81.0,7.0,20.0,5.0,55.0,3252.0,579.0,113.0,17.0,17.0,,0.0,52.0,23.0,58.0,72.0,0.0,29414.0,,0.0,20.0,0.0,0.0,1.0,0.077,0.0,1,S,9.0
25743,4.0,4.0,53.0,F,0.0,5.283868851890694,H,7.0,15.0,5.0,15.0,1.0,15.0,15.0,13.0,677.0,372.0,16.0,16.0,16.0,11.0,3.0,31.0,49.0,13.0,61.0,0.0,,F,0.0,15.0,0.0,0.0,1.0,0.2,0.0,2,C,
138262,6.0,3.0,35.0,F,4.0,4.0,U,2.0,5.0,10.0,31.0,6.0,6.0,5.0,26.0,569.0,156.0,29.0,15.0,15.0,14.0,0.0,27.0,56.0,,25.0,1.0,7914.0,A,5.0,5.0,4.0,0.667,5.0,0.417,0.0,2,C,
27419,4.0,1.0,,M,2.0,1.0,U,5.0,20.0,9.0,30.0,2.0,20.0,10.0,22.0,442.0,218.0,29.0,23.0,23.0,10.0,0.0,28.0,36.0,31.0,78.0,0.0,9399.0,A,15.0,15.0,2.0,0.333,2.0,0.154,0.0,3,R,
167790,6.0,2.0,8.66640163548572,M,8.0,1.0,H,7.0,19.0,31.0,131.0,12.0,,5.0,69.0,3152.0,416.0,127.0,17.0,17.0,13.0,0.0,43.0,43.0,35.0,81.0,1.0,31162.0,A,19.0,17.0,1.0,0.1,2.0,0.095,0.0,1,S,7.0
36907,3.0,3.0,83.0,F,1.0,1.0,H,7.0,20.0,7.0,20.0,1.0,20.0,20.0,17.0,755.0,383.0,23.0,23.0,23.0,8.0,2.0,31.0,51.0,,81.0,0.0,15389.0,N,20.0,20.0,1.0,0.2,1.0,0.091,0.0,2,C,
32911,5.0,2.0,33.0,F,6.0,2.0,U,,10.0,22.0,75.0,13.0,10.0,2.0,58.0,977.0,355.0,105.0,15.0,15.0,12.0,2.0,38.0,36.0,34.0,33.0,1.0,21802.0,A,10.0,10.0,1.0,0.7892080790596925,2.0,0.125,0.0,1,S,8.0
153026,6.0,4.0,71.0,F,11.0,2.0,H,2.0,11.0,27.0,87.0,14.0,11.0,3.0,62.0,1625.0,196.0,103.0,18.0,18.0,13.0,,36.0,9.0,29.0,41.0,1.0,10679.0,,10.5,10.67,2.0,0.222,3.0,0.167,1.0,3,C,0.0
136572,6.0,1.0,34.0,F,2.0,1.0,H,5.0,30.0,16.0,76.0,4.0,30.0,10.0,42.0,1295.0,459.0,68.0,19.0,19.0,13.0,0.0,35.0,14.0,44.0,60.0,0.0,23634.0,A,20.0,25.0,1.0,0.111,2.0,-0.18176697640128311,0.0,2,C,7.0
107279,6.0,3.0,50.0,F,3.0,,H,5.0,6.0,12.0,24.0,6.0,6.0,2.0,30.0,825.0,417.0,41.0,17.0,17.0,12.0,1.0,33.0,55.0,20.0,73.0,0.0,16332.0,A,5.5,4.75,2.0,0.286,,0.222,,1,S,
92301,6.0,4.0,67.0,M,1.0,3.0,H,7.0,10.0,11.0,35.0,4.0,10.0,5.0,28.0,3359.0,878.0,32.0,18.0,22.0,12.0,0.0,19.0,27.0,44.0,96.0,0.0,35266.0,A,10.0,8.33,1.0,0.143,3.0,0.188,-7.80641563113009,1,,
185248,5.0,0.0,48.0,F,13.0,1.0,H,6.0,15.0,28.0,237.0,26.0,15.0,3.0,86.0,788.0,364.0,113.0,5.0,18.0,21.0,5.0,21.0,0.0,23.0,98.0,1.0,11584.0,A,11.0,45.94938558210868,1.0,0.111,3.0,0.15,10.0,3,U,6.0
107397,6.0,0.0,,F,,4.0,U,,7.0,32.0,116.5,24.0,8.0,3.0,82.0,392.0,255.0,130.0,19.0,19.0,13.0,0.0,34.0,40.0,19.0,71.0,1.0,10822.0,S,5.5,,4.0,0.4,7.0,0.333,1.0,3,T,3.0
132131,5.0,4.0,38.0,F,5.0,1.0,U,,25.0,28.0,119.0,8.0,25.0,5.0,65.0,613.0,129.0,103.0,26.0,26.0,12.0,0.0,23.0,37.0,24.0,27.0,1.0,8382.0,A,,25.0,0.0,0.0,2.0,0.1,0.0,1,R,4.0
176807,6.0,3.0,79.0,M,6.0,1.0,,4.0,20.0,23.0,73.0,9.0,20.0,2.0,54.0,3956.50449229919,487.0,102.0,17.0,17.0,13.0,0.0,34.0,34.0,25.0,73.0,1.0,20931.0,A,13.5,45.94938558210868,2.0,0.222,2.0,0.105,0.0,1,C,
18640,6.0,1.0,,F,1.0,2.0,H,6.0,15.0,11.0,45.0,4.0,15.0,5.0,24.0,1307.0,426.0,28.0,19.0,19.0,12.0,2.0,36.0,39.0,30.0,79.0,0.0,41980.15715896082,A,15.0,11.67,1.0,0.143,3.0,0.214,0.0,1,T,
124985,6.0,3.0,47.0,F,2.0,2.0,H,5.0,17.0,18.0,47.0,7.0,17.0,3.0,49.0,905.0,405.0,69.0,18.0,18.0,13.0,12.0,62.0,63.0,50.0,73.0,0.0,17630.0,A,17.0,9.67,1.0,0.125,3.0,0.158,0.0,1,S,
66891,6.0,0.0,,U,9.0,4.0,H,5.0,7.0,24.0,81.0,21.0,7.0,2.0,64.0,1115.0,512.0,91.0,15.0,15.0,13.0,0.0,43.0,24.0,48.0,87.0,1.0,20171.0,S,5.67,5.6,3.0,-0.36980473637973116,5.0,0.263,1.0,1,S,9.0
87947,6.0,2.0,85.0,,8.0,3.0,H,7.0,12.0,25.0,119.0,13.0,12.0,5.0,67.0,2864.0,821.0,113.0,17.0,17.0,26.833062189051,0.0,25.0,44.0,14.0,98.0,1.0,33570.0,S,10.67,10.5,3.0,0.429,4.0,0.25,1.0,1,C,9.0
63257,6.0,3.0,,M,3.0,2.0,U,,11.0,12.0,40.0,4.0,15.0,4.0,25.0,347.0,219.0,29.0,17.0,17.0,12.0,0.0,42.0,20.0,24.0,80.0,1.0,12850.0,A,12.0,12.0,3.0,0.375,3.0,0.231,0.0,3,C,
112521,4.0,0.0,48.0,F,10.0,2.0,H,5.0,29.0,22.0,442.0,21.0,29.0,5.0,57.0,704.0,222.0,68.0,25.0,25.0,9.0,0.0,58.0,24.0,52.0,50.0,1.0,18592.0,S,26.0,25.14,5.0,0.455,7.0,0.368,1.0,,C,8.0
75194,6.0,1.0,47.0,F,5.0,1.0,U,1.0,21.0,25.0,61.0,7.0,21.0,5.0,56.0,400.0,276.0,121.0,23.0,23.0,12.0,2.0,37.0,27.0,26.0,54.0,0.0,15599.0,A,21.0,15.5,1.0,0.125,2.0,0.105,0.0,2,C,7.0
42021,4.0,3.0,39.0,M,0.0,1.0,H,2.0,20.0,7.0,25.0,2.0,20.0,5.0,22.0,429.0,125.0,31.0,20.0,20.0,11.0,0.0,35.0,14.0,54.0,46.0,0.0,9481.0,A,0.0,12.5,0.0,0.0,2.0,0.182,0.0,,U,
68472,5.0,3.0,45.0,F,0.0,1.0,H,5.0,35.0,6.0,,1.0,35.0,35.0,12.0,769.0,544.0,15.0,15.0,15.0,10.0,0.0,33.0,39.0,41.0,,0.0,14357.0,F,,35.0,0.0,0.0,1.0,0.25,0.0,2,S,
13863,7.0,4.0,67.0,F,5.0,4.0,U,2.0,6.0,,104.0,15.0,10.0,5.0,54.0,358.0,307.0,29.0,6.0,19.0,37.0,0.0,21.0,0.0,33.0,76.0,-0.5298607009385796,12507.0,A,6.75,6.17,4.0,0.5,6.0,0.532177770043206,0.0,2,R,
180817,4.0,1.0,61.0,F,1.0,1.0,H,3.0,20.0,5.0,20.0,1.0,20.0,20.0,13.0,919.0,294.0,17.0,17.0,17.0,10.0,0.0,26.0,23.0,40.0,64.0,0.0,14671.0,F,20.0,20.0,1.0,0.5,1.0,0.2,0.0,2,C,
156200,4.0,1.0,78.0,,13.0,3.0,H,4.0,10.0,29.0,316.0,30.0,20.0,5.0,71.0,833.0,209.0,117.0,17.0,17.0,7.0,0.0,61.0,2.0,91.0,80.0,1.0,16422.0,S,11.0,12.0,2.0,0.222,4.0,0.222,1.0,2,C,1.0
87417,5.0,2.0,47.0,F,7.0,1.0,U,2.0,25.0,23.0,343.0,20.0,25.0,5.0,64.0,619.0,236.0,75.0,27.0,27.0,11.0,-15.201233679010635,30.0,16.0,28.0,70.0,1.0,12041.0,A,20.0,,2.0,0.182,4.0,0.182,3.0,2,R,2.0
38924,4.0,1.0,65.0,M,1.0,1.0,H,5.0,20.0,9.0,30.0,2.0,20.0,10.0,23.0,740.0,314.0,-48.947478142868206,18.0,18.0,10.0,0.0,22.0,21.0,44.0,82.0,0.0,11579.0,A,10.0,15.0,1.0,0.167,2.0,0.133,0.0,3,U,
178577,6.0,2.0,87.0,M,5.0,4.0,H,7.0,20.0,22.0,209.0,16.0,25.0,5.0,59.0,1132.0,523.0,81.0,18.0,18.0,15.0,0.0,47.0,62.0,12.0,83.0,1.0,16139.0,S,23.0,22.0,2.0,0.222,3.0,0.158,1.0,2,C,9.0
142814,6.0,1.0,87.0,F,4.0,3.0,H,1.0,20.0,24.0,255.0,13.0,20.0,15.0,58.0,1450.0,260.0,76.0,20.0,20.0,14.0,0.0,6.0,0.0,21.0,134.8260947905859,1.0,6390.0,S,20.0,20.0,2.0,0.182,6.0,0.273,1.0,3,U,1.0
68120,6.0,1.0,58.0,F,3.0,1.0,H,5.0,25.0,22.0,89.0,7.0,25.0,3.0,55.0,698.0,340.0,81.0,19.0,19.0,26.833062189051,0.0,30.0,19.0,68.0,98.0,0.0,15577.0,A,20.0,22.5,1.0,0.1,2.0,0.1,0.0,2,U,6.0
177802,4.0,4.0,,F,,1.0,U,1.0,,24.0,86.0,18.0,10.0,3.0,61.0,722.0,258.0,125.0,17.0,17.0,11.0,0.0,30.0,13.0,43.0,59.0,1.0,13343.0,A,0.0,7.5,0.0,0.0,2.0,0.111,0.0,2,T,
172192,5.0,0.0,75.0,F,5.0,2.0,H,2.0,10.0,26.0,73.0,12.0,11.0,,61.0,966.0,383.0,129.0,19.0,19.0,12.0,0.0,33.0,41.0,29.0,83.0,1.0,13089.0,A,0.0,10.0,0.0,0.0,3.0,0.158,7.0,2,S,
174053,5.0,0.0,,F,21.0,3.0,U,,6.0,33.0,235.0,37.0,10.0,3.0,83.0,2353.0,429.0,126.0,21.0,21.0,12.0,4.0,17.0,17.0,23.0,38.0,1.0,13000.0,S,5.0,5.0,6.0,0.6,7.0,0.368,1.0,,U,7.0
168317,6.0,1.0,,U,7.0,2.0,H,5.0,13.0,22.0,80.0,10.0,13.0,5.0,53.0,2341.0,311.0,68.0,19.0,19.0,13.0,0.0,12.0,13.0,43.0,43.0,1.0,13577.0,,7.5,8.75,2.0,0.2,4.0,0.19,0.0,1,U,4.0
120657,5.0,0.0,72.0,F,4.0,1.0,H,3.0,15.0,20.0,47.0,4.0,15.0,10.0,48.0,340.0,180.0,81.0,21.0,21.0,11.0,0.0,29.0,27.0,46.0,67.0,0.0,9343.0,A,15.0,15.0,1.0,0.167,1.0,0.063,0.0,2,T,2.0
172053,6.0,2.0,83.0,M,21.0,4.0,U,,10.0,33.0,327.0,-18.58301950716246,20.0,3.0,80.0,1734.0,464.0,130.0,17.0,17.0,13.0,2.0,48.0,5.0,75.0,85.0,1.0,22033.0,S,10.0,10.0,5.0,0.455,6.0,0.353,1.0,1,C,4.0
172702,4.0,3.0,54.0,F,3.0,2.0,,4.0,15.0,10.0,30.0,3.0,15.0,5.0,24.0,1086.0,279.0,32.0,15.0,15.0,10.0,0.0,36.0,9.0,70.0,83.0,0.0,15038.0,A,10.0,10.0,3.0,0.429,3.0,0.188,0.0,2,T,
68687,3.0,2.0,38.0,M,2.0,1.0,H,5.0,16.0,15.0,53.0,5.0,16.0,3.0,42.0,806.0,463.0,67.0,15.0,15.0,10.0,0.0,24.0,52.0,19.0,94.0,0.0,14182.0,E,14.0,15.0,1.0,0.167,2.0,0.125,0.0,2,S,8.0
188131,2.0,4.0,,M,10.0,3.0,U,,25.0,13.0,343.0,15.0,30.0,15.0,29.0,1788.0,435.0,67.0,19.0,19.0,7.0,0.0,34.0,32.0,28.0,82.0,1.0,20095.0,E,17.5,20.0,2.0,0.5,3.0,0.375,1.0,1,T,
38243,5.0,1.0,50.0,F,2.0,1.0,U,7.0,15.0,17.0,80.0,5.0,25.0,5.0,43.0,957.0,232.0,56.0,26.0,26.0,10.0,0.0,23.0,31.0,26.0,34.0,0.0,11940.0,A,0.0,15.0,0.0,0.0,1.0,0.053,0.0,2,S,
2334,11.0,0.0,51.0,F,9.0,4.0,H,3.0,10.0,32.0,198.0,17.0,16.0,5.0,83.0,591.0,280.0,87.0,9.0,12.0,27.0,0.0,39.0,38.0,17.0,62.0,1.0,11294.0,A,10.4,11.0,5.0,0.455,7.0,0.318,0.0,2,T,8.0
54101,5.0,0.0,69.0,F,0.0,1.0,H,5.0,15.0,9.0,20.0,2.0,15.0,5.0,22.0,746.0,260.0,28.0,18.0,18.0,11.0,0.0,35.0,53.0,18.0,58.0,0.0,11660.0,A,0.0,10.0,0.0,0.0,2.0,0.154,0.0,2,T,
50072,6.0,2.0,,F,6.0,4.0,U,,5.0,18.0,59.0,11.0,7.0,5.0,48.0,329.0,185.0,56.0,17.0,17.0,14.0,0.0,28.0,34.0,36.0,88.0,1.0,9344.0,A,5.5,5.5,4.0,0.444,4.0,0.211,0.0,3,R,
65123,6.0,4.0,27.0,F,2.0,2.0,H,5.0,20.0,13.0,50.0,4.0,20.0,5.0,33.0,696.0,327.0,43.0,18.0,18.0,14.0,1.0,25.0,51.0,5.0,69.0,0.0,,A,,15.0,1.0,0.125,3.0,0.167,0.0,2,S,
183311,6.0,0.0,25.0,F,10.0,4.0,U,3.0,11.0,23.0,167.0,19.0,11.0,5.0,57.0,971.0,292.0,76.0,21.0,21.0,13.0,0.0,24.0,30.0,37.0,36.0,1.0,16328.0,S,9.29,9.25,7.0,0.636,8.0,0.444,1.0,2,R,2.0
46905,6.0,2.0,,M,1.0,1.0,H,5.0,15.0,15.0,39.0,5.0,15.0,3.0,38.0,444.0,233.0,53.0,19.0,19.0,,1.0,29.0,31.0,39.0,87.0,0.0,10013.0,A,0.0,9.67,0.0,0.0,3.0,0.188,0.0,3,R,
44657,6.0,1.0,55.0,M,8.0,4.0,H,7.0,5.0,19.0,60.0,15.0,5.0,1.0,52.0,583.0,302.0,81.0,17.0,17.0,13.0,0.0,32.0,8.0,34.0,86.0,1.0,13351.0,A,4.2,4.14,5.0,0.714,7.0,0.538,0.0,2,T,
113700,6.0,0.0,29.0,F,3.0,1.0,U,2.0,20.0,13.0,32.0,3.0,20.0,5.0,34.0,830.0,303.0,39.0,20.0,20.0,12.0,19.0,51.0,60.0,36.0,59.0,0.0,19106.0,A,13.5,13.5,2.0,0.25,2.0,0.105,0.0,1,C,
125601,,3.0,41.0,M,1.0,1.0,H,5.0,15.0,5.0,15.0,1.0,15.0,15.0,13.0,905.0,477.0,22.0,22.0,22.0,8.0,0.0,27.0,37.0,-22.628295177637554,75.0,0.0,19110.0,N,15.0,15.0,1.0,0.333,1.0,0.143,,1,S,
135888,6.0,0.0,,M,0.0,2.0,U,,17.0,14.0,50.0,4.0,17.0,3.0,32.0,842.0,247.0,40.0,20.0,20.0,12.0,0.0,59.0,9.0,84.0,79.0,0.0,16269.0,A,0.0,15.67,0.0,0.0,3.0,0.158,0.0,3,C,
98936,5.0,4.0,69.0,F,12.0,2.0,H,6.0,20.0,17.0,187.0,13.0,20.0,5.0,36.0,423.0,213.0,81.0,23.0,23.0,,0.0,31.0,26.0,42.0,68.0,1.0,11676.0,S,20.0,,2.0,0.4,2.0,0.2,1.0,2,T,5.0
191430,4.0,2.0,72.0,M,1.0,1.0,U,1.0,20.0,9.0,30.0,2.0,20.0,10.0,27.0,723.0,315.0,45.0,17.0,17.0,11.0,1.0,24.0,34.0,20.0,30.0,0.0,17675.0,A,0.0,20.0,0.0,0.0,1.0,0.083,0.0,?,?,8.0
52672,6.0,,51.0,F,9.0,1.0,H,6.0,15.0,30.0,69.0,10.0,15.0,3.0,64.0,973.0,566.0,122.0,16.0,16.0,14.0,1.0,31.0,47.0,21.0,92.0,1.0,20044.0,A,15.0,12.5,,0.125,2.0,0.111,0.0,1,T,
21761,5.0,2.0,79.0,F,4.0,1.0,U,,25.0,,269.5,,50.0,10.0,60.0,529.0,197.0,87.0,19.0,19.0,14.0,0.0,27.0,23.0,42.0,79.0,1.0,9695.0,A,50.0,,1.0,0.091,4.0,0.19,0.0,2,R,2.0
1298,11.0,,80.0,M,9.0,4.0,H,4.0,20.0,38.0,311.0,22.0,30.0,5.0,99.0,2459.0,309.0,182.20286969802558,18.0,21.0,30.0,0.0,27.0,15.0,67.0,47.0,1.0,17969.0,A,18.6,19.71,5.0,0.455,7.0,0.35,0.0,2,T,8.0
185397,6.0,1.0,,M,3.0,3.0,U,,-21.71866388305432,10.0,44.0,6.0,10.0,5.0,34.0,1107.0,415.0,29.0,13.0,21.0,24.0,1.0,31.0,,44.0,66.0,1.0,17854.0,A,7.33,7.33,3.0,0.5,,,0.0,1,S,
165451,6.0,0.0,,F,12.0,2.0,H,3.0,30.0,30.0,193.0,12.0,30.0,5.0,72.0,1039.0,300.0,123.0,21.0,21.0,13.0,0.0,25.0,35.0,49.0,53.0,1.0,9695.0,S,23.75,23.75,4.0,0.364,4.0,0.19,1.0,3,S,2.0
147313,6.0,4.0,71.0,F,8.0,3.0,H,6.0,11.0,23.0,,11.0,20.0,3.0,56.0,3091.0,583.0,87.0,17.0,17.0,14.0,0.0,48.0,55.0,28.0,86.0,0.0,22119.0,A,10.6,10.6,5.0,0.455,5.0,0.238,0.0,1,S,9.0
32091,6.0,2.0,69.0,U,8.0,2.0,H,3.0,11.0,27.0,120.0,17.0,11.0,3.0,68.0,576.0,224.0,90.0,21.0,21.0,15.0,1.0,46.0,29.0,26.0,77.0,1.0,8705.0,S,11.0,9.67,1.0,0.091,3.0,0.143,1.0,2,T,2.0
149046,4.0,0.0,65.0,F,1.0,1.0,H,6.0,15.0,8.0,-245.47319946589744,2.0,15.0,5.0,20.0,3054.0,624.0,30.0,18.0,18.0,10.0,0.0,22.0,43.0,30.0,88.0,0.0,22241.0,,5.0,10.0,1.0,0.2,2.0,0.154,0.0,1,C,
81073,5.0,3.0,50.0,F,3.0,3.0,H,4.0,10.0,13.0,55.0,6.0,10.0,7.0,34.0,571.0,243.0,41.0,22.0,22.0,11.0,0.0,32.0,38.0,35.0,81.0,1.0,13144.0,A,10.0,9.0,2.0,0.222,5.0,0.25,0.0,2,C,
